GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG,TRAVELER_ID,cluster,cluster_name
여,30,1,2,6,5,4,서울특별시,제주,3인 이상 여행(가족 외),1,1,7,summer,3,h001465,4,느슨하게 떠나는 듀오 무드러
여,20,1,2,1,10,7,경기도,제주,나홀로 여행,4,0,5,spring,1,h000154,2,탐험 ON한 듀오 트래블러
남,30,1,4,4,1,4,인천광역시,제주,2인 여행(가족 외),4,1,7,summer,3,h002139,4,느슨하게 떠나는 듀오 무드러
여,40,2,3,2,2,1,서울특별시,제주,자녀 동반 여행,1,2,6,summer,7,h001091,7,패밀리 무드 ON 스탠다드러
여,30,1,12,2,2,6,경상남도,제주,부모 동반 여행,2,2,7,summer,4,h001728,6,뉴트럴바이브 듀오 스테이러
여,40,2,9,2,3,3,경기도,제주,나홀로 여행,1,0,6,summer,3,h001847,6,뉴트럴바이브 듀오 스테이러
남,20,1,2,6,3,2,인천광역시,제주,나홀로 여행,1,0,6,summer,7,h000628,4,느슨하게 떠나는 듀오 무드러
여,30,1,3,5,1,1,서울특별시,제주,2인 여행(가족 외),7,1,7,summer,3,h001843,4,느슨하게 떠나는 듀오 무드러
여,50,2,11,1,3,3,경상남도,제주,나홀로 여행,1,0,7,summer,5,h001150,6,뉴트럴바이브 듀오 스테이러
여,30,2,11,2,2,2,세종특별자치시,제주,자녀 동반 여행,2,3,6,summer,7,h000453,7,패밀리 무드 ON 스탠다드러
여,20,1,12,2,3,4,부산광역시,제주,2인 여행(가족 외),4,1,6,summer,3,h001345,6,뉴트럴바이브 듀오 스테이러
여,30,1,3,4,6,6,서울특별시,제주,2인 여행(가족 외),3,1,6,summer,3,h001447,2,탐험 ON한 듀오 트래블러
여,60,2,3,1,1,4,서울특별시,제주,2인 가족 여행,10,1,5,spring,3,h000049,6,뉴트럴바이브 듀오 스테이러
여,30,1,4,4,1,4,제주특별자치도,제주,나홀로 여행,4,0,7,summer,2,h001629,3,솔로감성 잠깐 리프레시러
여,40,2,2,2,1,3,인천광역시,제주,자녀 동반 여행,1,3,6,summer,7,h000926,7,패밀리 무드 ON 스탠다드러
남,20,1,12,1,8,2,대구광역시,제주,2인 여행(가족 외),1,1,7,summer,4,h001438,2,탐험 ON한 듀오 트래블러
여,30,1,12,2,8,5,서울특별시,제주,3인 이상 여행(가족 외),3,3,6,summer,3,h001529,2,탐험 ON한 듀오 트래블러
여,20,1,12,2,1,6,서울특별시,제주,2인 여행(가족 외),3,1,7,summer,3,h001853,6,뉴트럴바이브 듀오 스테이러
여,20,1,2,2,4,4,경기도,제주,3인 이상 여행(가족 외),1,3,6,summer,4,h001183,7,패밀리 무드 ON 스탠다드러
여,30,1,3,4,3,1,서울특별시,제주,나홀로 여행,2,0,7,summer,4,h001667,4,느슨하게 떠나는 듀오 무드러
여,40,2,2,3,4,5,울산광역시,제주,자녀 동반 여행,7,2,5,spring,3,h000185,7,패밀리 무드 ON 스탠다드러
여,40,2,13,5,2,3,서울특별시,제주,3인 이상 여행(가족 외),3,5,6,summer,5,h000831,0,자연에 진심인 힐링패밀리
남,20,1,12,4,3,7,광주광역시,제주,3인 이상 여행(가족 외),3,3,5,spring,2,h000031,1,자연집중 번개여행 패밀리
남,30,2,3,4,2,2,대전광역시,제주,자녀 동반 여행,2,2,6,summer,4,h000602,7,패밀리 무드 ON 스탠다드러
여,20,1,3,3,4,4,경기도,제주,2인 여행(가족 외),1,1,6,summer,3,h000908,4,느슨하게 떠나는 듀오 무드러
남,30,2,4,5,2,2,제주특별자치도,제주,2인 가족 여행,1,1,6,summer,2,h000489,4,느슨하게 떠나는 듀오 무드러
여,40,1,2,5,5,1,제주특별자치도,제주,부모 동반 여행,2,2,5,spring,3,h000028,2,탐험 ON한 듀오 트래블러
여,30,2,3,5,1,4,경기도,제주,자녀 동반 여행,3,2,5,spring,3,h000093,7,패밀리 무드 ON 스탠다드러
남,50,5,2,7,5,2,경기도,제주,나홀로 여행,2,0,6,summer,5,h001650,5,차분템포 자연수집 패밀리
여,20,1,2,5,1,5,서울특별시,제주,나홀로 여행,1,0,6,summer,5,h001335,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,1,2,2,광주광역시,제주,2인 여행(가족 외),3,1,7,summer,3,h001359,6,뉴트럴바이브 듀오 스테이러
여,50,1,3,5,4,4,대구광역시,제주,2인 가족 여행,2,1,5,spring,3,h000030,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,3,4,3,서울특별시,제주,2인 여행(가족 외),1,1,6,summer,4,h001249,6,뉴트럴바이브 듀오 스테이러
여,20,1,12,2,1,3,서울특별시,제주,2인 여행(가족 외),1,1,7,summer,4,h002005,6,뉴트럴바이브 듀오 스테이러
여,30,2,3,5,2,4,서울특별시,제주,2인 가족 여행,2,1,6,summer,4,h001108,4,느슨하게 떠나는 듀오 무드러
여,50,2,3,4,4,4,서울특별시,제주,자녀 동반 여행,2,4,7,summer,2,h001332,7,패밀리 무드 ON 스탠다드러
여,40,2,11,2,1,2,제주특별자치도,제주,자녀 동반 여행,2,2,7,summer,3,h001766,7,패밀리 무드 ON 스탠다드러
여,30,1,3,4,1,2,제주특별자치도,제주,2인 여행(가족 외),1,1,6,summer,3,h001315,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,1,7,2,서울특별시,제주,2인 여행(가족 외),2,1,7,summer,3,h000706,2,탐험 ON한 듀오 트래블러
여,30,1,2,5,1,6,서울특별시,제주,2인 여행(가족 외),5,1,6,summer,4,h001792,4,느슨하게 떠나는 듀오 무드러
남,20,1,3,4,3,2,충청북도,제주,3인 이상 여행(가족 외),2,2,6,summer,4,h001060,4,느슨하게 떠나는 듀오 무드러
여,30,1,3,4,2,1,경기도,제주,2인 여행(가족 외),5,1,7,summer,3,h001816,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,2,3,4,전라북도,제주,2인 여행(가족 외),2,1,7,summer,4,h002032,6,뉴트럴바이브 듀오 스테이러
여,20,1,4,3,4,3,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,3,h001051,6,뉴트럴바이브 듀오 스테이러
남,20,1,3,5,5,2,대구광역시,제주,3인 이상 가족 여행(친척 포함),9,2,7,summer,4,h001964,2,탐험 ON한 듀오 트래블러
여,20,1,4,4,1,1,광주광역시,제주,3인 이상 여행(가족 외),2,2,7,summer,3,h001993,6,뉴트럴바이브 듀오 스테이러
여,20,1,2,5,4,6,경기도,제주,2인 여행(가족 외),3,1,7,summer,3,h001698,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,2,1,3,경상남도,제주,2인 여행(가족 외),3,1,6,summer,3,h001440,6,뉴트럴바이브 듀오 스테이러
여,30,2,2,8,4,2,충청북도,제주,자녀 동반 여행,3,2,6,summer,3,h001590,5,차분템포 자연수집 패밀리
남,50,2,13,4,2,3,광주광역시,제주,자녀 동반 여행,2,3,5,spring,4,h000117,7,패밀리 무드 ON 스탠다드러
여,40,1,4,6,3,6,서울특별시,제주,2인 여행(가족 외),3,1,6,summer,5,h000550,4,느슨하게 떠나는 듀오 무드러
남,50,1,9,2,2,6,서울특별시,제주,자녀 동반 여행,1,4,5,spring,5,h000153,7,패밀리 무드 ON 스탠다드러
남,30,1,3,4,2,6,제주특별자치도,제주,2인 여행(가족 외),3,1,6,summer,2,h001231,3,솔로감성 잠깐 리프레시러
여,30,2,3,5,6,3,제주특별자치도,제주,부모 동반 여행,2,2,6,summer,1,h000548,1,자연집중 번개여행 패밀리
남,30,2,2,4,1,6,제주특별자치도,제주,2인 가족 여행,2,1,7,summer,1,h002101,1,자연집중 번개여행 패밀리
여,20,1,2,4,3,4,서울특별시,제주,2인 가족 여행,1,1,6,summer,3,h000631,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,2,2,6,서울특별시,제주,나홀로 여행,5,0,6,summer,3,h000514,6,뉴트럴바이브 듀오 스테이러
남,20,1,1,3,3,4,제주특별자치도,제주,3인 이상 여행(가족 외),1,3,7,summer,2,h002111,1,자연집중 번개여행 패밀리
남,50,4,3,5,2,3,충청남도,제주,2인 여행(가족 외),3,1,7,summer,4,h001824,4,느슨하게 떠나는 듀오 무드러
남,50,1,3,8,2,2,경기도,제주,2인 여행(가족 외),1,1,5,spring,3,h000177,5,차분템포 자연수집 패밀리
여,50,1,2,3,1,1,대구광역시,제주,3인 이상 여행(가족 외),8,3,6,summer,3,h000702,7,패밀리 무드 ON 스탠다드러
